site_id,site_name,lake,latitude,longitude,site_description,site_notes
1,Boat Ramp A,Henry Hagg Lake,45.482414,-123.210945,East side of the lake,Closest to park entrance
2,Boat Ramp C,Henry Hagg Lake,45.488943,-123.228111,West site of lake,Farthest from entrance
